,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH,goalsAgainst_cumul_sum,goalsFor_cumul_sum,goalsDiff_cumul_sum,goalsFor%_cumul_avg,pp%_cumul_avg,pk%_cumul_avg,sh%_cumul_avg,sv%_cumul_avg,fenwickPercentage_cumul_avg,PDO_cumul_avg,last_10_games_win%,win%
1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,108.0,12.0,0.529006390434962,0.18170068027210884,0.8471428571428572,0.11727356299381116,0.9110173152860771,0.46182571428571434,1.0282908782798883,0.6666666666666666,0.5428571428571428
1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,85.0,17.0,0.5305088702147526,0.20245098039215687,0.8955882352941176,0.0811776661301354,0.9365750798213155,0.5003852941176471,1.0177527459514508,0.75,0.5588235294117647
1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,84.0,-4.0,0.516608309990663,0.1796918767507003,0.7924019607843138,0.09169645549752671,0.8951304065034043,0.5444911764705881,0.9868268620009308,0.5,0.4411764705882353
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,83.0,-39.0,0.37366110080395804,0.13704081632653065,0.73421768707483,0.07957898089512794,0.8803015281665897,0.49121142857142874,0.9598805090617178,0.4,0.2857142857142857
1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,88.0,7.0,0.5458556149732622,0.1107843137254902,0.8362745098039218,0.09846187150259479,0.9143374772231702,0.5158499999999999,1.0127993487257652,1.0,0.5588235294117647
1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,81.0,-11.0,0.4628492719401811,0.18526936026936025,0.823881673881674,0.09374846656797228,0.913434728611972,0.43536363636363634,1.0071831951799446,0.4,0.3939393939393939
1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,89.0,-6.0,0.4499257278669044,0.14250700280112047,0.8595704948646127,0.08496766095471502,0.9061973939536835,0.5068676470588236,0.9911650549083987,0.25,0.4117647058823529
1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,77.0,-2.0,0.47532467532467537,0.18116883116883117,0.8974747474747475,0.07663072374451907,0.9182678430112354,0.5170060606060605,0.9948985667557547,0.8,0.48484848484848486
1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,105.0,35.0,0.6223599632690541,0.1560846560846561,0.8414141414141414,0.10447999449051992,0.9202828542547902,0.5383818181818182,1.02476284874531,0.3333333333333333,0.7575757575757576
1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,88.0,5.0,0.5015724471606825,0.16036414565826335,0.8112044817927171,0.09141765004561914,0.9088041000503163,0.5212323529411765,1.0002217500959354,0.75,0.5
